epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,0.8282883554387975,0.8987222222222222,0.6311676578521729,0.9678333333333333,0.7662793519973755,0.9144
2,0.6531039846208361,0.9728333333333333,0.598460378964742,0.9816666666666667,0.6956951950073242,0.944
3,0.6231683774524265,0.9829629629629629,0.5866858113606771,0.9821666666666666,0.6706394946098327,0.951
4,0.6071071705288357,0.9873518518518518,0.5726265722910563,0.9855,0.657858095741272,0.9548
5,0.5956924971827754,0.9906111111111111,0.5697243393262227,0.9871666666666666,0.645763637828827,0.9589
6,0.5875597650916488,0.993462962962963,0.5697050412495931,0.9871666666666666,0.6457335153579712,0.9613
7,0.582049813888691,0.994537037037037,0.5661697438557942,0.9878333333333333,0.6416290670394897,0.961
8,0.5771201462392453,0.9956851851851852,0.5626667984326681,0.988,0.6351217924118042,0.9619
9,0.573965246659738,0.9963148148148148,0.5645563405354818,0.9888333333333333,0.6390124690055847,0.9614
10,0.5704474032543324,0.9968888888888889,0.5622395850817362,0.9891666666666666,0.6332729140281678,0.9632
11,0.5679735597151297,0.9974259259259259,0.5617274732589722,0.989,0.6354900074958801,0.9625
12,0.5652764073831064,0.9980740740740741,0.5626404175758362,0.9888333333333333,0.6346338881492615,0.964
