epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,0.25337890632245236,0.9221296296296296,0.08523741234921908,0.9738333333333333,0.24175168245233944,0.9298
2,0.09646490556159747,0.9701666666666666,0.06619837507578268,0.9796666666666667,0.21235753230777554,0.9424
3,0.06670847104103822,0.9790185185185185,0.05632582363909902,0.9851666666666666,0.2095528561600073,0.9452
4,0.04868678548647733,0.9845,0.061411160195339716,0.9825,0.21034797718797527,0.9445
5,0.03806992598794505,0.9881851851851852,0.05590136844532503,0.9861666666666666,0.2298481931041126,0.9516
6,0.033312536860891334,0.9896851851851852,0.07043839571410607,0.9835,0.27769969060495375,0.9526
7,0.029654514229320836,0.9906481481481482,0.05821344673834852,0.986,0.25435948255073015,0.9527
8,0.027488300842125203,0.9912777777777778,0.0728116195602859,0.9856666666666667,0.30910860642911847,0.952
9,0.023509990374885565,0.9925555555555555,0.07424969537773296,0.9856666666666667,0.2751208402675619,0.957
10,0.02441617501844983,0.9924814814814815,0.07620541342173782,0.9835,0.28066321057338856,0.9531
11,0.021358478332303855,0.9932037037037037,0.08271289958448486,0.9841666666666666,0.33467907064965374,0.9516
12,0.020417884619243706,0.9937407407407407,0.07535590060159708,0.986,0.34253004093008177,0.9539
