epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,0.2870534085645168,0.9110925925925926,0.09642824200789134,0.9718333333333333,0.27850705874562265,0.9116
2,0.09365906636761846,0.9716111111111111,0.07745229353755713,0.9768333333333333,0.21421293806917965,0.9384
3,0.0635506083172815,0.9802592592592593,0.06264269100688398,0.9813333333333333,0.20809845249801875,0.9412
4,0.046616817337230144,0.9854814814814815,0.05682927026797552,0.9826666666666667,0.20544032855187544,0.9489
5,0.03403765271610097,0.9889074074074075,0.04974672882117254,0.9865,0.18495879367243032,0.9572
6,0.03015660409432894,0.9902407407407408,0.05503303515593143,0.9853333333333333,0.2153213820462581,0.9529
7,0.02305969556394902,0.9925,0.05748861035519546,0.985,0.24546229613475298,0.9506
8,0.02125456635554272,0.9928518518518519,0.059118542156686694,0.9848333333333333,0.22894880759574007,0.9525
9,0.019724155018220058,0.9934444444444445,0.09012890636136565,0.9833333333333333,0.2778811081276599,0.9535
10,0.01729415203247916,0.9945925925925926,0.07488575105750352,0.9841666666666666,0.2749827094711829,0.9494
11,0.015758917366272187,0.9949259259259259,0.07064881983619224,0.9851666666666666,0.292820059334287,0.9558
12,0.015130712647297494,0.9950555555555556,0.07338048852186656,0.9843333333333333,0.26073659117789066,0.9562
