epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,9.327090605700457,0.0992962962962963,2.316386758804321,0.097,2.314962620925903,0.1
2,2.3106217064327663,0.10075925925925926,2.3075084069569907,0.0975,2.308182085800171,0.1
3,2.311718768155133,0.10031481481481481,2.3095689398447674,0.1035,2.3094253757476806,0.1
4,2.311892104042901,0.09809259259259259,2.315480250676473,0.10316666666666667,2.3134711338043212,0.1
5,2.3117177282262733,0.09722222222222222,2.3132835159301757,0.0975,2.3115525173187255,0.1
6,2.3111043998576974,0.09837037037037037,2.3110525449117025,0.10316666666666667,2.3106489452362062,0.1
7,2.311071330812242,0.10161111111111111,2.308971964518229,0.1015,2.3097384719848635,0.1
8,2.311275517216435,0.09911111111111111,2.320779583613078,0.10033333333333333,2.318615464782715,0.1
9,2.3114479251437716,0.09996296296296296,2.306423283259074,0.09883333333333333,2.306324851989746,0.1
10,2.311455646938748,0.09931481481481481,2.3212847283681235,0.0975,2.3181994426727295,0.1
11,2.3112565131717258,0.10212962962962963,2.3109672991434733,0.09883333333333333,2.3116400455474855,0.1
12,2.3120548302685773,0.09953703703703703,2.3152817872365317,0.105,2.3161512046813963,0.1
