epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,0.2713580553330722,0.9147962962962963,0.08630384603980928,0.9743333333333334,0.24818758845161645,0.9266
2,0.09584157632844613,0.9706666666666667,0.0841302409110552,0.9761666666666666,0.2306526389159495,0.9366
3,0.06624184821086278,0.9788888888888889,0.060111123615773976,0.9828333333333333,0.20401919476367766,0.9455
4,0.04792404876039167,0.9841666666666666,0.061881983090936045,0.9818333333333333,0.1972310908708023,0.951
5,0.03849443999918304,0.9875185185185186,0.07451893530375976,0.9796666666666667,0.20855953205539407,0.9536
6,0.032463245968664046,0.9893888888888889,0.06804905633816627,0.985,0.23228216302948623,0.9567
7,0.02626766248602772,0.9908148148148148,0.07735599294367335,0.9836666666666667,0.2877810761277233,0.9496
8,0.025463699244620747,0.9916296296296296,0.07344329557279834,0.9856666666666667,0.2679048710671453,0.9539
9,0.0223275319410672,0.9922407407407408,0.08692462404749074,0.9851666666666666,0.27062410224587563,0.9564
10,0.020029744941826095,0.993462962962963,0.07441059838373337,0.9848333333333333,0.249134109381986,0.9565
11,0.018700891430626847,0.9941481481481481,0.0788004210910311,0.9856666666666667,0.2579876280517683,0.957
12,0.018756150879339628,0.9936481481481482,0.07040120103156412,0.986,0.2777708480211623,0.9558
