epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,0.8097374591341725,0.7568888888888889,0.3896349790096283,0.8868333333333334,0.7273564805030823,0.77
2,0.333896591257166,0.8986666666666666,0.23119575091203054,0.9316666666666666,0.5043739986419677,0.844
3,0.22413025573006382,0.9329814814814815,0.17651325563589731,0.949,0.4291161732673645,0.8637
4,0.1720528382394049,0.9487962962962962,0.13646872558196385,0.9595,0.3417961651802063,0.8958
5,0.14138732209801674,0.9579444444444445,0.11488564948240916,0.9665,0.30759204277992247,0.9073
6,0.12028679020095755,0.9630555555555556,0.10900907841324806,0.966,0.2972081152439117,0.9145
7,0.10459959832385735,0.9690555555555556,0.09411307399471601,0.9741666666666666,0.26942530381679536,0.92
8,0.09172550350758764,0.9733518518518518,0.08838316100339094,0.9751666666666666,0.2570541841506958,0.9267
9,0.082632518172816,0.9751111111111112,0.08085601951181888,0.9775,0.23995215017795563,0.9313
10,0.07392563360156837,0.9782592592592593,0.07899884533882141,0.9765,0.2390405010700226,0.9327
11,0.067773708468786,0.9794259259259259,0.07829043538868427,0.9755,0.25058864023685457,0.93
12,0.06056410673812584,0.9818333333333333,0.07103942490865787,0.9791666666666666,0.22442029588222503,0.9402
